번호,종목명,평가액(억 원),자산군 내 비중(퍼센트),지분율(퍼센트)
1,삼성전자,341048,23.29,7.28
2,SK하이닉스,82235,5.62,7.98
3,LG에너지솔루션,55196,3.77,5.52
4,삼성바이오로직스,36167,2.47,6.69
5,NAVER,33861,2.31,9.31
6,현대차,30759,2.1,7.15
7,기아,28576,1.95,7.11
8,POSCO홀딩스,26894,1.84,6.37
9,삼성SDI,24678,1.69,7.6
10,LG화학,23484,1.6,6.67
11,셀트리온,21524,1.47,7.3
12,현대모비스,19561,1.34,8.81
13,KB금융,18120,1.24,8.3
14,삼성물산,16817,1.15,7
15,신한지주,15323,1.05,7.4
16,포스코퓨처엠,14404,0.98,5.18
17,카카오,13739,0.94,5.69
18,삼성전기,12144,0.83,10.61
19,LG전자,11477,0.78,6.89
20,삼성에스디에스,11118,0.76,8.45
21,SK이노베이션,9929,0.68,7.03
22,하나금융지주,9876,0.67,7.78
23,SK,9121,0.62,7
24,LG,8939,0.61,6.62
25,고려아연,8686,0.59,8.34
26,삼성화재,8440,0.58,6.77
27,삼성생명,8342,0.57,6.04
28,SK텔레콤,8179,0.56,7.46
29,메리츠금융지주,8025,0.55,6.68
30,한국전력,8004,0.55,6.6
31,하이브,7995,0.55,8.22
32,KT&G,7666,0.52,6.59
33,카카오뱅크,7621,0.52,5.61
34,KT,7050,0.48,7.95
35,HD현대중공업,7030,0.48,6.14
36,두산에너빌리티,6850,0.47,6.73
37,현대글로비스,6835,0.47,9.52
38,대한항공,6707,0.46,7.62
39,우리금융지주,6144,0.42,6.29
40,아모레퍼시픽,6083,0.42,7.17
41,CJ제일제당,6059,0.41,12.42
42,HMM,5921,0.4,4.39
43,크래프톤,5851,0.4,6.25
44,한화솔루션,5699,0.39,8.39
45,한화에어로스페이스,5697,0.39,9.04
46,LG이노텍,5475,0.37,9.66
47,S-Oil,5374,0.37,6.86
48,삼성중공업,5188,0.35,7.61
49,유한양행,5122,0.35,9.71
50,HD한국조선해양,5113,0.35,5.98
51,기업은행,5108,0.35,5.4
52,한미약품,5035,0.34,11.37
53,DB손해보험,4967,0.34,8.38
54,롯데케미칼,4964,0.34,7.58
55,SK스퀘어,4900,0.33,6.7
56,SK바이오팜,4861,0.33,6.18
57,한국항공우주,4619,0.32,9.48
58,포스코인터내셔널,4462,0.3,4.07
59,HD현대,4461,0.3,8.92
60,한화오션,4253,0.29,5.53
61,삼성엔지니어링,4246,0.29,7.47
62,LS,4193,0.29,13.97
63,삼성전자우,4158,0.28,0.81
64,LG생활건강,3951,0.27,7.13
65,현대오토에버,3898,0.27,6.72
66,LIG넥스원,3890,0.27,13.55
67,한국타이어앤테크놀로지,3888,0.27,6.91
68,오리온,3795,0.26,8.27
69,엔씨소프트,3764,0.26,7.13
70,한미반도체,3731,0.25,6.21
71,HD현대일렉트릭,3671,0.25,12.39
72,두산밥캣,3613,0.25,7.15
73,두산로보틱스,3574,0.24,4.75
74,CJ,3557,0.24,12.91
75,현대제철,3474,0.24,7.13
76,씨에스윈드,3473,0.24,11.73
77,금호석유,3449,0.24,9.09
78,한솔케미칼,3293,0.22,12.8
79,현대건설,3191,0.22,8.21
80,카카오페이,3066,0.21,4.63
81,키움증권,3031,0.21,11.62
82,삼성증권,3018,0.21,8.78
83,CJ대한통운,2988,0.2,10.3
84,현대해상,2932,0.2,10.58
85,맥쿼리인프라,2902,0.2,5.35
86,SK아이이테크놀로지,2881,0.2,5.12
87,농심,2881,0.2,11.64
88,현대차2우B,2881,0.2,6.98
89,한올바이오파마,2875,0.2,12.43
90,한국금융지주,2863,0.2,8.38
91,넷마블,2782,0.19,5.57
92,코웨이,2734,0.19,6.48
93,한진칼,2717,0.19,5.59
94,포스코DX,2689,0.18,2.38
95,LG유플러스,2604,0.18,5.83
96,GS,2586,0.18,6.8
97,호텔신라,2527,0.17,9.84
98,엘앤에프,2453,0.17,3.32
99,SK바이오사이언스,2446,0.17,4.42
100,현대미포조선,2414,0.16,7.12
101,이수페타시스,2404,0.16,12.91
102,제일기획,2377,0.16,10.86
103,F&F,2375,0.16,6.95
104,미래에셋증권,2265,0.15,4.9
105,한화시스템,2247,0.15,6.85
106,현대로템,2238,0.15,7.71
107,GS리테일,2233,0.15,9.25
108,영원무역,2179,0.15,10.79
109,LS ELECTRIC,2157,0.15,9.82
110,에코프로머티,2152,0.15,1.65
111,LG디스플레이,2148,0.15,4.71
112,OCI홀딩스,2119,0.14,10.07
113,한미사이언스,2107,0.14,7.68
114,DB하이텍,2085,0.14,8.02
115,삼양식품,2064,0.14,12.69
116,리노공업,2040,0.14,6.61
117,신세계,2032,0.14,11.78
118,SKC,1957,0.13,5.7
119,한온시스템,1935,0.13,4.97
120,BNK금융지주,1910,0.13,8.31
121,삼성카드,1910,0.13,5.1
122,NH투자증권,1909,0.13,5.57
123,코스맥스,1908,0.13,13.3
124,이마트,1859,0.13,8.7
125,효성티앤씨,1844,0.13,11.67
126,BGF리테일,1800,0.12,7.93
127,현대위아,1785,0.12,10.08
128,한국가스공사,1743,0.12,7.64
129,KCC,1730,0.12,8.52
130,롯데지주,1712,0.12,6.03
131,효성중공업,1692,0.12,11.21
132,한전KPS,1689,0.12,11.02
133,아모레G,1677,0.11,6.95
134,에코프로비엠,1674,0.11,0.59
135,강원랜드,1669,0.11,4.88
136,효성첨단소재,1619,0.11,9.05
137,한국콜마,1606,0.11,13.09
138,롯데칠성,1575,0.11,11.58
139,코스모신소재,1573,0.11,3.29
140,쌍용C&E,1571,0.11,5.48
141,롯데정밀화학,1571,0.11,10.5
142,한전기술,1570,0.11,6.61
143,롯데쇼핑,1560,0.11,7.35
144,한화생명,1536,0.1,6.25
145,휠라홀딩스,1521,0.1,6.47
146,종근당,1473,0.1,8.95
147,HD현대인프라코어,1467,0.1,9.05
148,에코프로,1458,0.1,0.85
149,에스원,1455,0.1,6.38
150,HL만도,1432,0.1,7.75
151,덴티움,1430,0.1,9.86
152,한화,1415,0.1,7.33
153,JB금융지주,1392,0.1,6.21
154,솔루엠,1391,0.09,10.19
155,팬오션,1351,0.09,6.77
156,대덕전자,1342,0.09,10.04
157,에스엘,1339,0.09,8.08
158,JYP Ent.,1292,0.09,3.59
159,DL이앤씨,1285,0.09,9.21
160,DL,1283,0.09,11.91
161,풍산,1270,0.09,11.56
162,알테오젠,1269,0.09,2.47
163,ISC,1261,0.09,7.41
164,대한유화,1154,0.08,11.61
165,DGB금융지주,1149,0.08,8
166,현대백화점,1132,0.08,9.34
167,현대엘리베이,1128,0.08,6.51
168,두산,1106,0.08,7.13
169,레고켐바이오,1054,0.07,5.91
170,롯데에너지머티리얼즈,1045,0.07,5.39
171,대우건설,1044,0.07,6.06
172,녹십자,1042,0.07,7.1
173,파마리서치,1042,0.07,9.22
174,LX세미콘,1038,0.07,7.35
175,HK이노엔,1031,0.07,8.19
176,GS건설,1016,0.07,7.91
177,세아제강지주,1006,0.07,10.12
178,코리안리,983,0.07,8.31
179,LX인터내셔널,970,0.07,8.51
180,대웅제약,956,0.07,7.06
181,GKL,936,0.06,11.21
182,심텍,929,0.06,7.57
183,오뚜기,920,0.06,5.74
184,한국단자,909,0.06,11.63
185,한세실업,898,0.06,10.66
186,솔브레인,896,0.06,3.79
187,SK네트웍스,892,0.06,6.58
188,TKG휴켐스,891,0.06,10.13
189,두산퓨얼셀,868,0.06,5.71
190,해성디에스,864,0.06,9.18
191,두산테스나,861,0.06,8.64
192,이오테크닉스,848,0.06,4.5
193,코오롱인더,838,0.06,6.85
194,PI첨단소재,817,0.06,9.12
195,효성,813,0.06,6.1
196,하이트진로,811,0.06,5.14
197,에스엠,803,0.05,3.66
198,HPSP,797,0.05,2.19
